JBO,Vacancies,Latitude,Longitude
Shaftesbury Square,"6,431",54.591502,-5.934438
Holywood Road,"4,411",54.601519,-5.883416
Antrim,"4,325",54.718243,-6.219761
Foyle/Lisnagelvin,"4,174",55.002012,-7.324237
Belfast North,"3,664",54.603234,-5.923783
Lisburn,"3,410",54.511199,-6.046679
Bangor,"2,921",54.661957,-5.658657
Portadown,"2,912",54.418074,-6.448758
Ballymena,"2,736",54.870301,-6.280127
Knockbreda,"2,258",54.562597,-5.907234
Newry,"2,041",54.169304,-6.341903
Newtownards,"1,992",54.658398,-5.92252
Coleraine,"1,872",55.137775,-6.663786
Magherafelt,"1,619",54.759641,-6.603666
Armagh,"1,612",54.356605,-6.654829
Enniskillen,"1,567",54.347278,-7.639287
Omagh,"1,255",54.603318,-7.300423
Dungannon,"1,198",54.507863,-6.76868
Lurgan,"1,098",54.459113,-6.335849
Banbridge,863,54.349429,-6.265108
Falls Road,850,54.598932,-5.950264
Newtownabbey,834,54.658398,-5.92252
Cookstown,804,54.645889,-6.743164
Downpatrick,759,54.326467,-5.718182
Ballymoney,754,55.072776,-6.513027
Limavady,739,55.051304,-6.948768
Carrickfergus,701,54.713868,-5.812601
Strabane,670,54.823111,-7.471046
Andersonstown,573,54.581305,-5.980276
Ballynahinch,569,54.404429,-5.890672
Larne,538,54.8516,-5.824149
Newcastle,462,54.212243,-5.890931
Kilkeel,426,54.064021,-6.008283
Shankill,410,54.604821,-5.949968
